iter	F1:use_weights=false	Logloss
348	0.925862069	0.08346627241
349	0.9254631624	0.08332765146
350	0.9266609146	0.08310133959
351	0.9270608546	0.08280329175
352	0.9267241379	0.08261488957
353	0.9279240397	0.08243040276
354	0.9270608546	0.08225596965
355	0.9266609146	0.08212500872
356	0.9266609146	0.08202835435
357	0.9282627485	0.08182043612
358	0.9274611399	0.08160557675
359	0.9278617711	0.08146719338
360	0.9290657439	0.08120876974
361	0.9290657439	0.08105290251
362	0.9298701299	0.08080000526
363	0.9298701299	0.08055193168
364	0.9290657439	0.08041326627
365	0.9319462505	0.08008091538
366	0.9314830876	0.07993327308
367	0.9314830876	0.07978099187
368	0.9323503903	0.07943602311
369	0.9331597222	0.07923691477
370	0.9327548807	0.07901761079
371	0.9335649153	0.07887127026
372	0.9327548807	0.07870090118
373	0.9323503903	0.0785791452
374	0.9319462505	0.07847103873
375	0.9323503903	0.07835485484
376	0.9335649153	0.07821521797
377	0.9348392702	0.07793883801
378	0.9352455454	0.07774250236
379	0.9360591562	0.07755237849
380	0.9352455454	0.07739693785
381	0.9352455454	0.07731156903
382	0.9356521739	0.07704013332
383	0.9348392702	0.07684338211
384	0.9356521739	0.07668540312
385	0.9368741837	0.07653700038
386	0.9360591562	0.076390115
387	0.9364664926	0.07623583804
388	0.9360591562	0.07609172572
389	0.9360591562	0.07584522964
390	0.9360591562	0.07568403709
391	0.9360591562	0.07555194839
392	0.9364664926	0.07533442728
393	0.9352455454	0.07520461639
394	0.9348392702	0.07504990346
395	0.9348392702	0.07491853128
396	0.9348392702	0.07479378486
397	0.9360591562	0.0746208411
398	0.9376906318	0.07442142622
399	0.9376906318	0.07430787927
